subs_id,family_group
132914.0,FAM_4
132919.0,FAM_4
100152.0,FAM_4
132921.0,FAM_4
132924.0,FAM_4
132927.0,FAM_4
132931.0,FAM_4
100165.0,FAM_4
132935.0,FAM_4
132936.0,FAM_4
132939.0,FAM_4
100174.0,FAM_4
132943.0,FAM_4
132944.0,FAM_4
100176.0,FAM_4
100179.0,FAM_4
100188.0,FAM_4
132958.0,FAM_4
132959.0,FAM_4
100195.0,FAM_4
100198.0,FAM_4
100203.0,FAM_4
100204.0,FAM_4
100208.0,FAM_4
132977.0,FAM_4
132978.0,FAM_4
100211.0,FAM_4
100216.0,FAM_4
132986.0,FAM_4
132987.0,FAM_4
100225.0,FAM_4
132997.0,FAM_4
132999.0,FAM_4
100231.0,FAM_4
100243.0,FAM_4
133025.0,FAM_4
100262.0,FAM_4
100268.0,FAM_4
100270.0,FAM_4
133048.0,FAM_4
100280.0,FAM_4
133055.0,FAM_4
133069.0,FAM_4
100307.0,FAM_4
100308.0,FAM_4
100315.0,FAM_4
133087.0,FAM_4
133090.0,FAM_4
133091.0,FAM_4
133094.0,FAM_4
100327.0,FAM_4
133133.0,FAM_4
133140.0,FAM_4
133147.0,FAM_4
100385.0,FAM_4
133154.0,FAM_4
100391.0,FAM_4
100394.0,FAM_4
100395.0,FAM_4
133164.0,FAM_4
100398.0,FAM_4
133166.0,FAM_4
133168.0,FAM_4
133170.0,FAM_4
100408.0,FAM_4
133179.0,FAM_4
133180.0,FAM_4
100413.0,FAM_4
100420.0,FAM_4
133189.0,FAM_4
133190.0,FAM_4
133195.0,FAM_4
133197.0,FAM_4
133199.0,FAM_4
133200.0,FAM_4
100433.0,FAM_4
133203.0,FAM_4
133204.0,FAM_4
100438.0,FAM_4
100442.0,FAM_4
133229.0,FAM_4
133230.0,FAM_4
100464.0,FAM_4
133249.0,FAM_4
100481.0,FAM_4
133251.0,FAM_4
133252.0,FAM_4
133257.0,FAM_4
133265.0,FAM_4
100503.0,FAM_4
133273.0,FAM_4
133277.0,FAM_4
100522.0,FAM_4
133293.0,FAM_4
133297.0,FAM_4
100530.0,FAM_4
133305.0,FAM_4
100541.0,FAM_4
133311.0,FAM_4
100545.0,FAM_4
100560.0,FAM_4
100562.0,FAM_4
133332.0,FAM_4
133334.0,FAM_4
133340.0,FAM_4
100572.0,FAM_4
100576.0,FAM_4
133345.0,FAM_4
133349.0,FAM_4
133350.0,FAM_4
100586.0,FAM_4
100605.0,FAM_4
133374.0,FAM_4
100608.0,FAM_4
100610.0,FAM_4
133387.0,FAM_4
100620.0,FAM_4
133390.0,FAM_4
100622.0,FAM_4
133397.0,FAM_4
100629.0,FAM_4
133400.0,FAM_4
133405.0,FAM_4
133407.0,FAM_4
100644.0,FAM_4
133421.0,FAM_4
133425.0,FAM_4
133429.0,FAM_4
100662.0,FAM_4
133438.0,FAM_4
100680.0,FAM_4
100693.0,FAM_4
133465.0,FAM_4
